datetime,category_id,category_name,store_name,amount,card_name,card_type,transaction_type,member_id
2020-01-01 00:00:00,13,통신,KT,50000,KB국민 노리2 체크카드(KB Pay),체크카드,정기결제,4
2020-01-01 01:00:00,14,교통(대중),기후동행카드,55000,우리카드 DA@카드의정석,신용카드,정기결제,4
2020-01-01 09:40:02,2,카페/디저트,할리스,5200,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-01 13:41:22,4,주유,GS칼텍스,7800,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-01 16:14:12,2,카페/디저트,커피빈,4000,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-01 16:52:20,8,병원/약국,내과,6600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-01 20:01:29,5,영화/문화,롯데시네마,13000,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-02 17:15:15,4,주유,SK에너지,4800,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-02 22:51:28,7,쇼핑,ABC마트,6600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-03 11:57:31,2,카페/디저트,스타벅스,4400,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-03 15:09:52,10,자동차/하이패스,호남고속도로,2800,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-03 19:57:46,3,외식,롤링파스타,11600,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-03 21:02:07,6,마트,트레이더스,16300,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-04 22:26:13,12,기타,올리브영,2400,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-04 23:04:58,5,영화/문화,키즈카페,5900,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-05 14:19:09,2,카페/디저트,카페베네,11600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-05 14:46:11,11,여행/숙박,SRT,9200,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-05 18:32:42,5,영화/문화,에버랜드,10800,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-06 11:05:31,7,쇼핑,현대백화점,12600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-06 11:28:38,7,쇼핑,롯데백화점,6800,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-06 15:11:28,9,교육/육아,영풍문고,8000,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-06 16:40:25,6,마트,롯데마트,8900,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-06 16:43:38,3,외식,롤링파스타,4100,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-06 16:49:08,9,교육/육아,yes24,11000,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-06 17:17:35,7,쇼핑,H&M,10800,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-06 18:57:53,3,외식,김밥천국,9500,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-06 21:20:06,11,여행/숙박,SRT,5400,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-06 22:16:54,7,쇼핑,H&M,2300,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-07 10:47:02,5,영화/문화,롯데월드,10400,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-07 12:25:53,12,기타,다이소,8600,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-07 18:01:04,6,마트,홈플러스,14300,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-07 20:21:10,3,외식,투다리,10900,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-07 21:50:42,2,카페/디저트,컴포즈커피,7700,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-07 23:38:34,3,외식,이삭토스트,11100,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-08 11:18:48,7,쇼핑,유니클로,10900,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-08 14:24:36,12,기타,철물점,7700,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-08 16:33:15,5,영화/문화,키즈카페,11200,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-09 09:47:16,11,여행/숙박,대한항공,5000,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-09 10:36:50,7,쇼핑,롯데백화점,3800,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-09 10:37:17,12,기타,인테리어,1600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-09 17:04:00,12,기타,올리브영,4300,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-09 19:41:24,7,쇼핑,유니클로,12700,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-09 21:41:07,3,외식,명동칼국수,5100,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-09 23:49:45,6,마트,이마트,5200,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-10 10:01:34,11,여행/숙박,익스피디아,5600,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-10 11:29:15,7,쇼핑,무신사,3300,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-10 12:23:44,7,쇼핑,롯데백화점,10500,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-10 16:40:52,7,쇼핑,유니클로,2800,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-10 18:08:23,11,여행/숙박,에어비앤비,6300,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-10 19:15:58,3,외식,원할머니보쌈,13000,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-10 22:42:35,7,쇼핑,롯데백화점,7400,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
2020-01-10 23:16:39,12,기타,다이소,14000,신한카드 Hey Young 체크,체크카드,일반결제,4
2020-01-11 09:38:57,4,주유,S-OIL,11100,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-11 09:40:51,7,쇼핑,자라,13800,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-11 15:28:35,2,카페/디저트,스타벅스,9000,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-11 16:13:21,12,기타,철물점,15600,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-11 17:10:22,3,외식,이삭토스트,3800,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
2020-01-11 17:22:07,6,마트,마켓컬리,5200,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
2020-01-11 20:08:47,7,쇼핑,자라,10600,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-11 22:43:18,2,카페/디저트,투썸,9200,우리카드 DA@카드의정석,신용카드,일반결제,4
2020-01-11 22:56:21,2,카페/디저트,이디야,10300,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
